"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"249","2300-2359","Delta Air Lines Inc.","New Orleans, LA: Louis Armstrong New Orleans International",314,9.51515151515152
"250","2300-2359","Frontier Airlines Inc.","New Orleans, LA: Louis Armstrong New Orleans International",1666,14.7433628318584
"251","2300-2359","JetBlue Airways","New Orleans, LA: Louis Armstrong New Orleans International",24,12
"252","2300-2359","Southwest Airlines Co.","New Orleans, LA: Louis Armstrong New Orleans International",6166,13.641592920354
"253","2300-2359","United Air Lines Inc.","New Orleans, LA: Louis Armstrong New Orleans International",153,21.8571428571429
"254","2300-2359","American Airlines Inc.","New York, NY: John F. Kennedy International",28172,36.7301173402868
"255","2300-2359","Delta Air Lines Inc.","New York, NY: John F. Kennedy International",32813,18.2497219132369
"256","2300-2359","JetBlue Airways","New York, NY: John F. Kennedy International",116823,24.9408625106746
"257","2300-2359","Virgin America","New York, NY: John F. Kennedy International",7034,21.7098765432099
"258","2300-2359","American Airlines Inc.","New York, NY: LaGuardia",4178,14.8156028368794
"259","2300-2359","Delta Air Lines Inc.","New York, NY: LaGuardia",34895,27.7605409705648
"260","2300-2359","ExpressJet Airlines Inc.","New York, NY: LaGuardia",40204,45.2747747747748
"261","2300-2359","JetBlue Airways","New York, NY: LaGuardia",15694,40.5529715762274
"262","2300-2359","Southwest Airlines Co.","New York, NY: LaGuardia",5177,21.4813278008299
"263","2300-2359","Spirit Air Lines","New York, NY: LaGuardia",12476,27.6017699115044
"264","2300-2359","United Air Lines Inc.","New York, NY: LaGuardia",21,7
"265","2300-2359","American Airlines Inc.","Newark, NJ: Newark Liberty International",121,13.4444444444444
"266","2300-2359","ExpressJet Airlines Inc.","Newark, NJ: Newark Liberty International",27904,19.4724354501047
"267","2300-2359","JetBlue Airways","Newark, NJ: Newark Liberty International",12236,48.944
"268","2300-2359","Spirit Air Lines","Newark, NJ: Newark Liberty International",1400,30.4347826086957
"269","2300-2359","United Air Lines Inc.","Newark, NJ: Newark Liberty International",80667,24.2388822115385
"270","2300-2359","JetBlue Airways","Newburgh/Poughkeepsie, NY: Stewart International",316,7.52380952380952
"271","2300-2359","American Airlines Inc.","Norfolk, VA: Norfolk International",0,0
"272","2300-2359","Southwest Airlines Co.","Oakland, CA: Metropolitan Oakland International",20043,17.8318505338078
"273","2300-2359","Spirit Air Lines","Oakland, CA: Metropolitan Oakland International",4790,29.5679012345679
"274","2300-2359","American Airlines Inc.","Oklahoma City, OK: Will Rogers World",0,0
"275","2300-2359","American Airlines Inc.","Omaha, NE: Eppley Airfield",0,0
"276","2300-2359","ExpressJet Airlines Inc.","Omaha, NE: Eppley Airfield",1527,36.3571428571429
"277","2300-2359","Frontier Airlines Inc.","Omaha, NE: Eppley Airfield",61,3.05
"278","2300-2359","SkyWest Airlines Inc.","Omaha, NE: Eppley Airfield",40,40
"279","2300-2359","American Airlines Inc.","Ontario, CA: Ontario International",233,17.9230769230769
"280","2300-2359","SkyWest Airlines Inc.","Ontario, CA: Ontario International",2921,7.52835051546392
"281","2300-2359","Southwest Airlines Co.","Ontario, CA: Ontario International",13,6.5
"282","2300-2359","Alaska Airlines Inc.","Orlando, FL: Orlando International",4,4
"283","2300-2359","American Airlines Inc.","Orlando, FL: Orlando International",356,9.12820512820513
"284","2300-2359","Delta Air Lines Inc.","Orlando, FL: Orlando International",655,16.375
